"","hgnc_symbol","entrezgene","chromosome_name","start_position","end_position","go_id","name_1006","PUBMED"
"107","ELP4",26610,"11",31509700,31790328,"GO:0004402","histone acetyltransferase activity",NA
"108","TADA3",10474,"3",9779860,9793011,"GO:0004402","histone acetyltransferase activity",NA
"109","TADA1",117143,"1",166856510,166876327,"GO:0004402","histone acetyltransferase activity",NA
"110","TADA2B",93624,"4",7041899,7057952,"GO:0004402","histone acetyltransferase activity",NA
"111","CDY1B",253175,"Y",24045229,24048019,"GO:0004402","histone acetyltransferase activity",NA
"112","ING3",54556,"7",120950749,120977216,"GO:0004402","histone acetyltransferase activity",NA
"113","TAF6L",10629,"11",62771303,62787342,"GO:0004402","histone acetyltransferase activity",NA
"114","KAT14",57325,"20",18138118,18188387,"GO:0004402","histone acetyltransferase activity",NA
"115","SUPT7L",9913,"2",27650812,27663840,"GO:0004402","histone acetyltransferase activity",NA
"116","CREBBP",1387,"16",3725054,3880726,"GO:0004402","histone acetyltransferase activity",NA
"117","KAT6A",7994,"8",41929479,42051990,"GO:0004402","histone acetyltransferase activity",NA
"118","CDY1",9085,"Y",25622162,25624902,"GO:0004402","histone acetyltransferase activity",NA
"119","CDY2B",203611,"Y",17877410,17880220,"GO:0004402","histone acetyltransferase activity",NA
"120","CDY2A",9426,"Y",18025787,18028597,"GO:0004402","histone acetyltransferase activity",NA
"121","KAT2B",8850,"3",20040023,20154404,"GO:0004402","histone acetyltransferase activity",NA
"122","TAF9B",51616,"X",78129748,78139706,"GO:0004402","histone acetyltransferase activity",NA
"123","NCOA3",8202,"20",47501902,47656877,"GO:0004402","histone acetyltransferase activity",NA
"124","KAT2A",2648,"17",42113108,42121358,"GO:0004402","histone acetyltransferase activity",NA
"125","TAF1L",138474,"9",32629454,32635669,"GO:0004402","histone acetyltransferase activity",NA
"126","NAA60",79903,"16",3443611,3486963,"GO:0004402","histone acetyltransferase activity",NA
"127","SUPT3H",8464,"6",44809317,45377953,"GO:0004402","histone acetyltransferase activity",NA
"128","EP300",2033,"22",41091786,41180079,"GO:0004402","histone acetyltransferase activity",NA
"129","SRCAP",10847,"16",30698209,30741409,"GO:0004402","histone acetyltransferase activity",NA
"130","TAF5L",27097,"1",229593111,229626047,"GO:0004402","histone acetyltransferase activity",NA
"131","METTL8",79828,"2",171317405,171434802,"GO:0004402","histone acetyltransferase activity",NA
"132","NCOA1",8648,"2",24491914,24770702,"GO:0004402","histone acetyltransferase activity",NA
"133","KAT8",84148,"16",31115754,31131393,"GO:0004402","histone acetyltransferase activity",NA
"134","GTF3C4",9329,"9",132670035,132694955,"GO:0004402","histone acetyltransferase activity",NA
"135","MED24",9862,"17",40019097,40061215,"GO:0004402","histone acetyltransferase activity",NA
"136","ELP3",55140,"8",28089673,28191156,"GO:0004402","histone acetyltransferase activity",NA
"137","EPC1",80314,"10",32267751,32378798,"GO:0004402","histone acetyltransferase activity",NA
"138","ATF2",1386,"2",175072250,175168382,"GO:0004402","histone acetyltransferase activity",NA
"139","TAF5",6877,"10",103367967,103389065,"GO:0004402","histone acetyltransferase activity",NA
"140","TAF10",6881,"11",6606296,6612667,"GO:0004402","histone acetyltransferase activity",NA
"141","TAF1",6872,"X",71366239,71532374,"GO:0004402","histone acetyltransferase activity",NA
"142","CLOCK",9575,"4",55427903,55547138,"GO:0004402","histone acetyltransferase activity",NA
"143","KAT5",10524,"11",65711996,65719604,"GO:0004402","histone acetyltransferase activity",NA
"144","HAT1",8520,"2",171922448,171983682,"GO:0004402","histone acetyltransferase activity",NA
"145","EPC2",26122,"2",148644440,148787568,"GO:0004402","histone acetyltransferase activity",NA
"146","TAF12",6883,"1",28589323,28643085,"GO:0004402","histone acetyltransferase activity",NA
"147","TAF9",6880,"5",69364743,69370013,"GO:0004402","histone acetyltransferase activity",NA
"148","KAT7",11143,"17",49788555,49835030,"GO:0004402","histone acetyltransferase activity",NA
"149","BAZ1B",9031,"7",73440398,73522278,"GO:0016572","histone phosphorylation",NA
"150","CCNA2",890,"4",121816444,121823933,"GO:0016572","histone phosphorylation",NA
"151","RPS6KA4",8986,"11",64359148,64372215,"GO:0016572","histone phosphorylation",NA
"152","CDK1",983,"10",60778331,60794852,"GO:0016572","histone phosphorylation",NA
"153","CDK2",1017,"12",55966769,55972784,"GO:0016572","histone phosphorylation",NA
"154","NEK11",79858,"3",131026850,131350465,"GO:0016572","histone phosphorylation",NA
"155","HIPK4",147746,"19",40379271,40390187,"GO:0016572","histone phosphorylation",NA
"156","ATM",472,"11",108222484,108369102,"GO:0016572","histone phosphorylation",NA
"157","PRKCD",5580,"3",53156009,53192717,"GO:0016572","histone phosphorylation",NA
"158","MAP3K12",7786,"12",53479669,53500063,"GO:0016572","histone phosphorylation",NA
"159","RPS6KA5",9252,"14",90847862,91060636,"GO:0016572","histone phosphorylation",NA
"160","CBX7",23492,"22",39120167,39152674,"GO:0035102","PRC1 complex",NA
"161","BMI1",648,"10",22321211,22331484,"GO:0035102","PRC1 complex",NA
"162","RING1",6015,"6",33208495,33212722,"GO:0035102","PRC1 complex",NA
"163","PHC1",1911,"12",8913896,8941467,"GO:0035102","PRC1 complex",NA
"164","RNF2",6045,"1",185045364,185102608,"GO:0035102","PRC1 complex",NA
"165","PHC3",80012,"3",170086732,170181749,"GO:0035102","PRC1 complex",NA
"166","PHC2",1912,"1",33323623,33431052,"GO:0035102","PRC1 complex",NA
"167","PCGF2",7703,"17",38733897,38749817,"GO:0035102","PRC1 complex",NA
"168","PCGF6",84108,"10",103302796,103351134,"GO:0035102","PRC1 complex",NA
"169","CBX2",84733,"17",79778132,79787983,"GO:0035102","PRC1 complex",NA
"170","CBX8",57332,"17",79792132,79801683,"GO:0035102","PRC1 complex",NA
"171","CBX4",8535,"17",79833156,79839429,"GO:0035102","PRC1 complex",NA
"172","AEBP2",121536,"12",19404045,19720801,"GO:0035098","ESC/E(Z) complex",NA
"173","PHF1",5252,"6",33410399,33416453,"GO:0035098","ESC/E(Z) complex",NA
"174","RBBP7",5931,"X",16839283,16870414,"GO:0035098","ESC/E(Z) complex",NA
"175","SUZ12",23512,"17",31937018,32001045,"GO:0035098","ESC/E(Z) complex",NA
"176","JARID2",3720,"6",15246296,15522040,"GO:0035098","ESC/E(Z) complex",NA
"177","DNMT3L",29947,"21",44246339,44262216,"GO:0035098","ESC/E(Z) complex",NA
"178","H2AFY",9555,"5",135333900,135399914,"GO:0035098","ESC/E(Z) complex",NA
"179","SIRT1",23411,"10",67884669,67918390,"GO:0035098","ESC/E(Z) complex",NA
"180","RBBP4",5928,"1",32651142,32686211,"GO:0035098","ESC/E(Z) complex",NA
"181","TRIM37",4591,"17",58982638,59106921,"GO:0035098","ESC/E(Z) complex",NA
"182","HDAC2",3066,"6",113933028,114011308,"GO:0035098","ESC/E(Z) complex",NA
"183","EED",8726,"11",86244544,86278813,"GO:0035098","ESC/E(Z) complex",NA
"184","EPOP",100170841,"17",38671703,38675421,"GO:0035098","ESC/E(Z) complex",NA
"185","EZH1",2145,"17",42700275,42745049,"GO:0035098","ESC/E(Z) complex",NA
"186","H2AFY2",55506,"10",70052796,70112280,"GO:0035098","ESC/E(Z) complex",NA
"187","PHF19",26147,"9",120855652,120894896,"GO:0035098","ESC/E(Z) complex",NA
"188","MTF2",22823,"1",93079235,93139081,"GO:0035098","ESC/E(Z) complex",NA
"189","EZH2",2146,"7",148807383,148884321,"GO:0035098","ESC/E(Z) complex",NA
"190","SMARCB1",6598,"22",23786963,23834516,"GO:0016514","SWI/SNF complex",NA
"191","SMARCA4",6597,"19",10961001,11065395,"GO:0016514","SWI/SNF complex",NA
"192","SMARCD3",6604,"7",151238764,151277896,"GO:0016514","SWI/SNF complex",NA
"193","SMARCC1",6599,"3",47585272,47782106,"GO:0016514","SWI/SNF complex",NA
"194","ACTL6A",86,"3",179562880,179588408,"GO:0016514","SWI/SNF complex",NA
"195","SMARCA2",6595,"9",1980290,2193624,"GO:0016514","SWI/SNF complex",NA
"196","RB1",5925,"13",48303751,48481986,"GO:0016514","SWI/SNF complex",NA
"197","ARID1A",8289,"1",26693236,26782104,"GO:0016514","SWI/SNF complex",NA
"198","SMARCD1",6602,"12",50084972,50100712,"GO:0016514","SWI/SNF complex",NA
"199","ARID1B",57492,"6",156777374,157210779,"GO:0016514","SWI/SNF complex",NA
"200","SMARCD2",6603,"17",63832081,63843065,"GO:0016514","SWI/SNF complex",NA
"201","SMARCE1",6605,"17",40624962,40648508,"GO:0016514","SWI/SNF complex",NA
"202","SMARCC2",6601,"12",56162983,56189567,"GO:0016514","SWI/SNF complex",NA
"203","NCR1",9437,"19",54906150,54916140,"GO:0016514","SWI/SNF complex",NA
"204","ACTL6B",51412,"7",100643097,100656461,"GO:0016514","SWI/SNF complex",NA
"205","BCL11A",53335,"2",60451167,60553567,"GO:0016514","SWI/SNF complex",NA
"206","BCL11B",64919,"14",99169287,99271524,"GO:0016514","SWI/SNF complex",NA
"207","BCL7A",605,"12",122019422,122062044,"GO:0016514","SWI/SNF complex",NA
"208","BCL7B",9275,"7",73536356,73558002,"GO:0016514","SWI/SNF complex",NA
"209","BCL7C",9274,"16",30833626,30894960,"GO:0016514","SWI/SNF complex",NA
"210","BRD9",65980,"5",850291,892824,"GO:0016514","SWI/SNF complex",NA
"211","DPF1",8193,"19",38211006,38229714,"GO:0016514","SWI/SNF complex",NA
"212","DPF2",5977,"11",65333754,65353249,"GO:0016514","SWI/SNF complex",NA
"213","DPF3",8110,"14",72619296,72894116,"GO:0016514","SWI/SNF complex",NA
"214","PBRM1",55193,"3",52545352,52685917,"GO:0016514","SWI/SNF complex",NA
"215","PHF10",55274,"6",169703905,169725566,"GO:0016514","SWI/SNF complex",NA
"216","SS18",6760,"18",26016253,26091217,"GO:0016514","SWI/SNF complex",NA
"217","BAZ1A",11177,"14",34752731,34875647,NA,"ISWI","28801535;21734720"
"218","BAZ1B",9031,"7",73440398,73522278,NA,"ISWI","28801535;21734720"
"219","BAZ2A",11176,"12",56595596,56636816,NA,"ISWI","28801535;21734720"
"220","BAZ2B",29994,"2",159318979,159616692,NA,"ISWI","28801535;21734720"
"221","BPTF",2186,"17",67825524,67984378,NA,"ISWI","28801535;21734720"
"222","C17orf49",124944,"17",7014495,7017525,NA,"ISWI","28801535;21734720"
"223","CECR2",27443,"22",17359949,17558149,NA,"ISWI","28801535;21734720"
"224","CHRAC1",54108,"8",140511298,140517137,NA,"ISWI","28801535;21734720"
"225","HMGXB4",10042,"22",35257452,35295807,NA,"ISWI","28801535;21734720"
"226","POLE3",54107,"9",113407235,113410672,NA,"ISWI","28801535;21734720"
"227","RBBP4",5928,"1",32651142,32686211,NA,"ISWI","28801535;21734720"
"228","RSF1",51773,"11",77659996,77821017,NA,"ISWI","28801535;21734720"
"229","SMARCA1",6594,"X",129446501,129523500,NA,"ISWI","28801535;21734720"
"230","SMARCA5",8467,"4",143513463,143557486,NA,"ISWI","28801535;21734720"
"231","USF1",7391,"1",161039251,161045977,NA,"ISWI","28801535;21734720"
"232","CHD1",1105,"5",98853985,98928957,NA,"CHD_NURD_mi2","21734722"
"233","CHD2",1106,"15",92900189,93028005,NA,"CHD_NURD_mi2","21734722"
"234","CHD3",1107,"17",7884806,7912760,NA,"CHD_NURD_mi2","21734722"
"235","CHD4",1108,"12",6570083,6607476,NA,"CHD_NURD_mi2","21734722"
"236","CHD5",26038,"1",6101793,6180123,NA,"CHD_NURD_mi2","21734722"
"237","CHD6",84181,"20",41402101,41618494,NA,"CHD_NURD_mi2","21734722"
"238","CHD7",55636,"8",60678778,60868028,NA,"CHD_NURD_mi2","21734722"
"239","CHD8",57680,"14",21385194,21456126,NA,"CHD_NURD_mi2","21734722"
"240","CHD9",80205,"16",53055033,53329150,NA,"CHD_NURD_mi2","21734722"
"241","GATAD2A",54815,"19",19385826,19508931,NA,"CHD_NURD_mi2","21734722"
"242","GATAD2B",57459,"1",153789030,153923360,NA,"CHD_NURD_mi2","21734722"
"243","HDAC1",3065,"1",32292086,32333635,NA,"CHD_NURD_mi2","21734722"
"244","HDAC2",3066,"6",113933028,114011308,NA,"CHD_NURD_mi2","21734722"
"245","MBD2",8932,"18",54151601,54224788,NA,"CHD_NURD_mi2","21734722"
"246","MBD3",53615,"19",1573596,1592801,NA,"CHD_NURD_mi2","21734722"
"247","MTA1",9112,"14",105419820,105470729,NA,"CHD_NURD_mi2","21734722"
"248","MTA2",9219,"11",62593214,62601840,NA,"CHD_NURD_mi2","21734722"
"249","MTA3",57504,"2",42494569,42756947,NA,"CHD_NURD_mi2","21734722"
"250","RBBP4",5928,"1",32651142,32686211,NA,"CHD_NURD_mi2","21734722"
"251","RBBP7",5931,"X",16839283,16870414,NA,"CHD_NURD_mi2","21734722"
"252","UCHL5",51377,"1",193012250,193060080,"GO:0031011","Ino80 complex",NA
"253","INO80B",83444,"2",74455023,74457960,"GO:0031011","Ino80 complex",NA
"254","INO80",54617,"15",40978880,41116354,"GO:0031011","Ino80 complex",NA
"255","MCRS1",10445,"12",49556544,49568153,"GO:0031011","Ino80 complex",NA
"256","RUVBL1",8607,"3",128064778,128153914,"GO:0031011","Ino80 complex",NA
"257","INO80C",125476,"18",35452230,35497991,"GO:0031011","Ino80 complex",NA
"258","INO80E",283899,"16",29995294,30005793,"GO:0031011","Ino80 complex",NA
"259","ACTR5",79913,"20",38748442,38772520,"GO:0031011","Ino80 complex",NA
"260","ACTL6A",86,"3",179562880,179588408,"GO:0031011","Ino80 complex",NA
"261","YY1AP1",55249,"1",155659443,155689000,"GO:0031011","Ino80 complex",NA
"262","NFRKB",4798,"11",129863636,129895590,"GO:0031011","Ino80 complex",NA
"263","ACTR8",93973,"3",53867066,53882202,"GO:0031011","Ino80 complex",NA
"264","RUVBL2",10856,"19",48993448,49015995,"GO:0031011","Ino80 complex",NA
"265","TFPT",29844,"19",54107013,54115675,"GO:0031011","Ino80 complex",NA
"266","YY1",7528,"14",100238298,100282792,"GO:0031011","Ino80 complex",NA
"267","ACTB",60,"7",5527151,5563784,"GO:0031011","Ino80 complex",NA
"268","ACTB",60,"7",5527151,5563784,NA,"SWR1 complex","19424290"
"269","ACTL6A",86,"3",179562880,179588408,NA,"SWR1 complex","19424290"
"270","ACTR6",64431,"12",100199122,100241865,NA,"SWR1 complex","19424290"
"271","DMAP1",55929,"1",44213455,44220681,NA,"SWR1 complex","19424290"
"272","ERCC5",2073,"13",102844844,102876001,NA,"SWR1 complex","19424290"
"273","RUVBL1",8607,"3",128064778,128153914,NA,"SWR1 complex","19424290"
"274","RUVBL2",10856,"19",48993448,49015995,NA,"SWR1 complex","19424290"
"275","SRCAP",10847,"16",30698209,30741409,NA,"SWR1 complex","19424290"
"276","VPS72",6944,"1",151169987,151195321,NA,"SWR1 complex","19424290"
"277","YEATS4",8089,"12",69359703,69390796,NA,"SWR1 complex","19424290"
"278","ASXL1",171023,"20",32358344,32439319,NA,"BAP1_PR-DUB_Complex","27705803"
"279","ASXL2",55252,"2",25733753,25878516,NA,"BAP1_PR-DUB_Complex","27705803"
"280","BAP1",8314,"3",52401013,52410350,NA,"BAP1_PR-DUB_Complex","27705803"
"281","BARD1",580,"2",214725646,214809711,NA,"BAP1_PR-DUB_Complex","27705803"
"282","BRCA1",672,"17",43044295,43170245,NA,"BAP1_PR-DUB_Complex","27705803"
"283","FOXK1",221937,"7",4682309,4771443,NA,"BAP1_PR-DUB_Complex","27705803"
"284","FOXK2",3607,"17",82519713,82644662,NA,"BAP1_PR-DUB_Complex","27705803"
"285","HCFC1",3054,"X",153947553,153971807,NA,"BAP1_PR-DUB_Complex","27705803"
"286","KDM1B",221656,"6",18155329,18223853,NA,"BAP1_PR-DUB_Complex","27705803"
"287","OGT",8473,"X",71533083,71575897,NA,"BAP1_PR-DUB_Complex","27705803"
"288","YY1",7528,"14",100238298,100282792,NA,"BAP1_PR-DUB_Complex","27705803"
"289","CHAF1B",8208,"21",36385378,36419015,"GO:0033186","CAF-1 complex",NA
"290","RBBP4",5928,"1",32651142,32686211,"GO:0033186","CAF-1 complex",NA
"291","CHAF1A",10036,"19",4402662,4445018,"GO:0033186","CAF-1 complex",NA
"292","CDCA5",113130,"11",65066300,65084164,NA,"Cohesin_Complex","24854081"
"293","MTA3",57504,"2",42494569,42756947,NA,"Cohesin_Complex","24854081"
"294","PDS5A",23244,"4",39822863,39977956,NA,"Cohesin_Complex","24854081"
"295","PDS5B",23047,"13",32586427,32778019,NA,"Cohesin_Complex","24854081"
"296","RAD21",5885,"8",116845935,116874866,NA,"Cohesin_Complex","24854081"
"297","RAD21L1",642636,"20",1226056,1296421,NA,"Cohesin_Complex","24854081"
"298","REC8",9985,"14",24171853,24180257,NA,"Cohesin_Complex","24854081"
"299","SMC1A",8243,"X",53374149,53422728,NA,"Cohesin_Complex","24854081"
"300","SMC1B",27127,"22",45344063,45413619,NA,"Cohesin_Complex","24854081"
"301","SMC3",9126,"10",110567691,110604636,NA,"Cohesin_Complex","24854081"
"302","STAG1",10274,"3",136336233,136752403,NA,"Cohesin_Complex","24854081"
"303","STAG2",10735,"X",123960212,124422664,NA,"Cohesin_Complex","24854081"
"304","STAG3",10734,"7",100177563,100221488,NA,"Cohesin_Complex","24854081"
"305","WAPL",23063,"10",86435256,86521815,NA,"Cohesin_Complex","24854081"
"306","NCAPD2",9918,"12",6493356,6531955,NA,"Condensin_Complex","22855829"
"307","NCAPD3",23310,"11",134150119,134225454,NA,"Condensin_Complex","22855829"
"308","NCAPG",64151,"4",17810902,17844862,NA,"Condensin_Complex","22855829"
"309","NCAPG2",54892,"7",158631311,158704829,NA,"Condensin_Complex","22855829"
"310","NCAPH",23397,"2",96335787,96373845,NA,"Condensin_Complex","22855829"
"311","NCAPH2",29781,"22",50508216,50523472,NA,"Condensin_Complex","22855829"
"312","SMC2",10592,"9",104094260,104141417,NA,"Condensin_Complex","22855829"
"313","SMC4",10051,"3",160399274,160434962,NA,"Condensin_Complex","22855829"
