"","source","term_id","term_name","intersection_size","term_size","p_value"
"57","GO:BP","GO:0071704","organic substance metabolic process",334,8150,5.28864644591589e-14
"58","GO:BP","GO:0009891","positive regulation of biosynthetic process",109,1598,1.04353229061548e-13
"59","GO:BP","GO:0031324","negative regulation of cellular metabolic process",116,1780,2.571151041016e-13
"60","GO:BP","GO:0010558","negative regulation of macromolecule biosynthetic process",90,1206,3.12649503864101e-13
"61","GO:BP","GO:0000122","negative regulation of transcription by RNA polymerase II",65,735,1.82730073169299e-12
"62","GO:BP","GO:0031325","positive regulation of cellular metabolic process",138,2373,2.39272561364223e-12
"63","GO:BP","GO:0031327","negative regulation of cellular biosynthetic process",90,1249,2.43869584060051e-12
"64","GO:BP","GO:0051173","positive regulation of nitrogen compound metabolic process",140,2425,2.46186805823172e-12
"65","GO:BP","GO:0009890","negative regulation of biosynthetic process",90,1273,7.25634662850701e-12
"66","GO:BP","GO:0010604","positive regulation of macromolecule metabolic process",147,2648,1.01935954835915e-11
"67","GO:BP","GO:0008152","metabolic process",336,8501,3.09160634797208e-11
"68","GO:BP","GO:0009892","negative regulation of metabolic process",130,2306,1.80315121899795e-10
"69","GO:BP","GO:0051172","negative regulation of nitrogen compound metabolic process",112,1866,2.10765109914618e-10
"70","GO:BP","GO:0010605","negative regulation of macromolecule metabolic process",123,2146,2.89714402875456e-10
"71","GO:BP","GO:0009893","positive regulation of metabolic process",149,2884,2.01321306414336e-09
"72","GO:BP","GO:0048523","negative regulation of cellular process",175,3628,4.49472332869199e-09
"73","GO:BP","GO:0048519","negative regulation of biological process",187,4035,2.05024260595103e-08
"74","GO:BP","GO:0006325","chromatin organization",45,536,1.12528385092085e-07
"75","GO:BP","GO:0006338","chromatin remodeling",30,309,2.71071356677154e-06
"76","GO:BP","GO:0048522","positive regulation of cellular process",177,4148,5.61751489487181e-05
"77","GO:BP","GO:0048518","positive regulation of biological process",189,4577,0.000184517749945977
"78","GO:BP","GO:0016570","histone modification",32,424,0.000264735707331479
"79","GO:BP","GO:0010452","histone H3-K36 methylation",5,12,0.00116314616027069
"80","GO:BP","GO:0050793","regulation of developmental process",88,1829,0.0013697424092129
"81","GO:BP","GO:0018022","peptidyl-lysine methylation",14,120,0.00138656932723368
"82","GO:BP","GO:0006354","DNA-templated transcription elongation",20,224,0.00156060158033586
"83","GO:BP","GO:0034968","histone lysine methylation",13,107,0.00170633313609578
"84","GO:BP","GO:0016571","histone methylation",15,141,0.0020797740519815
"85","GO:BP","GO:0018205","peptidyl-lysine modification",26,367,0.00553692029404988
"86","GO:BP","GO:0097676","histone H3-K36 dimethylation",3,4,0.00648372651696226
"87","GO:BP","GO:0006479","protein methylation",16,178,0.00833033008713256
"88","GO:BP","GO:0008213","protein alkylation",16,178,0.00833033008713256
"89","GO:BP","GO:0006974","cellular response to DNA damage stimulus",44,789,0.00833033008713256
"90","GO:BP","GO:0006607","NLS-bearing protein import into nucleus",5,18,0.00944331842166673
"91","GO:BP","GO:0060429","epithelium development",46,845,0.00991077201648853
"92","GO:BP","GO:0016071","mRNA metabolic process",38,657,0.0110510206675336
"93","GO:BP","GO:0045814","negative regulation of gene expression, epigenetic",10,84,0.0147308290899371
"94","GO:BP","GO:0030522","intracellular receptor signaling pathway",18,227,0.0151755517762117
"95","GO:BP","GO:0072359","circulatory system development",46,879,0.0227542299265943
"96","GO:BP","GO:0090596","sensory organ morphogenesis",15,177,0.0231340048309364
"97","GO:BP","GO:1903706","regulation of hemopoiesis",20,277,0.0235157724891648
"98","GO:BP","GO:1902105","regulation of leukocyte differentiation",16,197,0.0235157724891648
"99","GO:BP","GO:2000736","regulation of stem cell differentiation",9,74,0.0235157724891648
"100","GO:BP","GO:0040029","epigenetic regulation of gene expression",13,141,0.0235157724891648
"101","GO:BP","GO:0086023","adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process",3,6,0.0263266570610726
"102","GO:BP","GO:0031507","heterochromatin formation",9,76,0.0278171754849678
"103","GO:BP","GO:0007623","circadian rhythm",14,164,0.0306557761946595
"104","GO:BP","GO:0043009","chordate embryonic development",31,531,0.031809087508551
"105","GO:BP","GO:1902275","regulation of chromatin organization",6,36,0.0360654733006376
"106","GO:BP","GO:0019827","stem cell population maintenance",13,150,0.0398124743823791
"107","GO:BP","GO:1900246","positive regulation of RIG-I signaling pathway",3,7,0.0417636961464178
"108","GO:BP","GO:0032242","regulation of nucleoside transport",2,2,0.0417636961464178
"109","GO:BP","GO:1901898","negative regulation of relaxation of cardiac muscle",2,2,0.0417636961464178
"110","GO:BP","GO:0032239","regulation of nucleobase-containing compound transport",4,15,0.0420232359304006
"111","GO:BP","GO:0098727","maintenance of cell number",13,152,0.0429893448751294
"112","GO:BP","GO:0009888","tissue development",65,1415,0.0468967708033715
"113","GO:BP","GO:0045165","cell fate commitment",13,154,0.0473281527881981
"114","GO:BP","GO:0070828","heterochromatin organization",9,83,0.0473281527881981
"115","GO:BP","GO:0048729","tissue morphogenesis",29,501,0.0475458492272148
"116","GO:BP","GO:0048511","rhythmic process",17,234,0.0475458492272148
"117","GO:BP","GO:0009792","embryo development ending in birth or egg hatching",31,548,0.0475458492272148
"118","GO:BP","GO:1902107","positive regulation of leukocyte differentiation",11,118,0.0477912106099415
"119","GO:BP","GO:1903708","positive regulation of hemopoiesis",11,118,0.0477912106099415
"120","GO:BP","GO:0007507","heart development",29,502,0.0477912106099415
"121","GO:BP","GO:2001222","regulation of neuron migration",6,39,0.0481745236395092
"122","GO:BP","GO:0009790","embryo development",44,871,0.0481745236395092
"123","KEGG","KEGG:05168","Herpes simplex virus 1 infection",45,415,6.64923574781198e-11
